date,high,low,close,open,volume,adjustment
19990104000000,14.9,14.53,14.55,14.88,1070500,21.088
19990105000000,14.6,14.3,14.49,14.5,1740800,21.088
19990106000000,14.78,14.47,14.58,14.5,1203600,21.088
19990107000000,15.25,14.52,14.9,14.55,1702800,21.088
19990108000000,15.19,14.91,15.04,14.91,2051800,21.088
19990111000000,15.19,14.88,15.0,15.17,1224300,21.088
19990112000000,14.98,14.68,14.73,14.98,2042200,21.088
19990113000000,14.85,14.61,14.65,14.68,1531200,21.088
19990114000000,14.8,14.59,14.7,14.63,1863100,21.088
19990115000000,14.8,14.6,14.62,14.76,1178900,21.088
19990118000000,14.97,14.5,14.88,14.63,1456500,21.088
19990119000000,15.0,14.75,14.86,14.98,1171300,21.088
19990120000000,14.95,14.7,14.72,14.85,897500,21.088
19990121000000,14.7,14.59,14.66,14.59,1171100,21.088
19990122000000,14.88,14.56,14.71,14.68,2322400,21.088
19990125000000,14.83,14.48,14.52,14.75,1645400,21.088
19990126000000,14.6,14.4,14.43,14.5,1461700,21.088
19990127000000,14.55,14.39,14.49,14.46,1554600,21.088
19990128000000,14.53,14.37,14.39,14.5,1502900,21.088
19990129000000,14.65,14.3,14.47,14.39,1677600,21.088
19990201000000,14.55,14.26,14.28,14.47,1756400,21.088
19990202000000,14.32,14.13,14.29,14.25,2056400,21.088
19990203000000,14.32,14.15,14.16,14.3,1245400,21.088
19990204000000,14.1,13.82,13.84,14.1,2389700,21.088
19990205000000,13.79,13.5,13.55,13.76,2453100,21.088
19990208000000,13.66,13.24,13.4,13.4,1974300,21.088
19990209000000,13.68,13.35,13.59,13.4,2601400,21.088
19990301000000,13.96,13.5,13.86,13.6,1008100,21.088
19990302000000,13.95,13.5,13.72,13.9,1324600,21.088
19990303000000,13.89,13.51,13.84,13.65,1409900,21.088
19990304000000,13.88,13.6,13.68,13.86,1281300,21.088
19990305000000,13.95,13.61,13.81,13.65,1435100,21.088
19990308000000,13.81,13.6,13.67,13.8,1775600,21.088
19990309000000,14.2,13.66,13.97,13.66,3431000,21.088
19990310000000,14.0,13.71,13.75,13.98,1162200,21.088
19990311000000,14.06,13.6,13.91,13.6,1910400,21.088
19990312000000,14.14,13.88,13.99,13.91,1939100,21.088
19990315000000,14.1,13.89,13.93,14.02,1767000,21.088
19990316000000,13.93,13.77,13.83,13.9,1645100,21.088
19990317000000,14.11,13.8,13.9,13.82,2168700,21.088
19990318000000,13.93,13.75,13.76,13.88,1419400,21.088
19990319000000,13.9,13.58,13.86,13.8,1770400,21.088
19990322000000,13.88,13.66,13.73,13.86,2260200,21.088
19990323000000,13.79,13.59,13.68,13.73,2470800,21.088
19990324000000,14.47,13.68,14.04,13.7,6813700,21.088
19990325000000,14.05,13.77,13.81,14.04,1816500,21.088
19990326000000,13.9,13.7,13.78,13.79,1533500,21.088
19990329000000,13.89,13.65,13.88,13.78,1575000,21.088
19990330000000,14.0,13.72,13.75,13.9,931500,21.088
19990331000000,13.85,13.65,13.69,13.75,1303700,21.088
19990401000000,13.69,13.54,13.63,13.61,2084000,21.088
19990402000000,13.99,13.61,13.76,13.63,1360900,21.088
19990405000000,14.1,13.75,13.99,13.76,2581400,21.088
19990406000000,14.0,13.75,13.79,14.0,1672900,21.088
19990407000000,14.08,13.8,13.9,13.8,2116900,21.088
19990408000000,14.7,13.91,14.6,13.96,12052300,21.088
19990409000000,14.8,14.22,14.28,14.6,9100600,21.088
19990412000000,14.45,14.01,14.03,14.28,3540400,21.088
19990413000000,14.55,13.97,14.21,14.05,3907900,21.088
19990414000000,14.35,14.01,14.06,14.18,1994300,21.088
19990415000000,14.1,13.85,13.9,14.06,2256800,21.088
19990416000000,14.09,13.77,13.89,13.9,2123500,21.088
19990419000000,13.93,13.74,13.75,13.91,1609600,21.088
19990420000000,14.04,13.7,13.84,13.75,1165300,21.088
19990421000000,13.98,13.6,13.64,13.82,1606400,21.088
19990422000000,13.75,13.31,13.47,13.6,2334500,21.088
19990423000000,14.38,13.51,13.76,13.6,2210000,21.088
19990426000000,13.85,13.35,13.37,13.8,2284500,21.088
19990427000000,13.35,13.1,13.13,13.35,2612700,21.088
19990428000000,13.49,13.14,13.21,13.2,1491100,21.088
19990429000000,13.35,13.18,13.3,13.21,1245400,21.088
19990430000000,13.56,13.3,13.4,13.31,1282100,21.088
19990504000000,13.51,13.25,13.28,13.4,1158100,21.088
19990505000000,13.35,13.12,13.17,13.28,1477500,21.088
19990506000000,13.45,13.16,13.4,13.17,1710500,21.088
19990507000000,13.43,13.08,13.1,13.42,1447900,21.088
19990510000000,13.1,12.6,12.78,13.1,3456300,21.088
19990511000000,13.05,12.75,12.87,12.8,1411300,21.088
19990512000000,13.03,12.7,12.94,12.85,1812900,21.088
19990513000000,12.98,12.66,12.7,12.96,1071900,21.088
19990514000000,12.71,12.35,12.42,12.7,2164500,21.088
19990517000000,12.73,12.1,12.28,12.38,2479500,21.088
19990518000000,12.46,12.2,12.22,12.28,1130300,21.088
19990519000000,13.08,12.16,13.0,12.2,3717300,21.088
19990520000000,13.7,12.9,13.56,13.0,6814200,21.088
19990521000000,14.1,13.46,13.6,13.55,8165200,21.088
19990524000000,14.26,13.32,14.17,13.68,11760200,21.088
19990525000000,14.37,13.62,13.93,14.2,8530800,21.088
19990526000000,15.32,13.7,15.32,13.86,40712300,21.088
19990527000000,16.85,16.8,16.85,16.85,7786100,21.088
19990531000000,18.54,17.81,18.54,18.54,103232900,21.088
19990601000000,20.35,18.01,20.1,18.54,85969400,21.088
19990602000000,22.11,20.0,20.25,20.29,95654500,21.088
19990603000000,20.55,19.7,19.88,19.99,50971700,21.088
19990604000000,20.85,19.9,20.29,20.1,41333400,21.088
19990607000000,21.28,20.15,21.09,20.4,35021400,21.088
19990608000000,21.48,20.48,20.65,21.3,33052600,21.088
19990609000000,20.9,20.09,20.67,20.6,17893400,21.088
19990610000000,22.57,20.5,20.68,22.54,46833700,21.088
19990611000000,20.82,20.4,20.59,20.52,15833200,21.088
19990614000000,20.89,20.28,20.65,20.6,18486700,21.088
19990615000000,22.0,20.26,20.62,21.2,43578100,21.088
19990616000000,21.49,20.65,21.32,20.86,19601000,21.088
